Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
605,1686447,1764721,1686447
606,1686447,1790701,1686447
607,1686389,1777627,1686447
608,1686389,1767603,1686389
609,1686447,1772482,1686389
610,1686389,1768405,1686389
611,1686447,1769925,1686389
612,1686389,1767729,1686389
613,1686389,1777668,1686389
614,1686389,1781520,1686389
615,1686447,1778064,1686389
616,1686389,1773928,1686389
617,1686389,1767417,1686389
618,1686389,1799235,1686389
619,1686389,1760137,1686389
620,1686389,1774612,1686389
621,1686389,1785650,1686389
622,1686389,1781832,1686389
623,1686389,1775270,1686389
624,1686389,1770699,1686389
625,1686389,1767874,1686389
626,1686389,1783802,1686389
627,1686389,1767230,1686389
628,1686389,1780031,1686389
629,1686389,1774699,1686389
630,1686389,1774666,1686389
631,1686362,1768490,1686389
632,1686389,1781190,1686362
633,1686362,1784927,1686362
634,1686362,1780375,1686362
635,1686362,1782316,1686362
636,1686362,1786153,1686362
637,1686362,1791861,1686362
638,1686362,1784263,1686362
639,1686362,1778646,1686362
640,1686362,1787649,1686362
641,1686362,1780919,1686362
642,1686362,1773458,1686362
643,1686362,1774273,1686362
644,1686362,1771247,1686362
645,1686362,1766027,1686362
646,1686362,1764817,1686362
647,1686362,1768166,1686362
648,1686362,1764872,1686362
649,1686362,1777241,1686362
650,1686362,1781811,1686362
651,1686362,1772888,1686362
652,1686362,1777538,1686362
653,1686362,1772554,1686362
654,1686362,1777316,1686362
655,1686362,1774681,1686362
656,1686362,1773413,1686362
657,1686362,1767961,1686362
658,1686362,1779900,1686362
659,1686362,1778834,1686362
660,1686362,1773295,1686362
661,1686362,1776703,1686362
662,1686362,1782254,1686362
663,1686362,1774325,1686362
664,1686362,1783554,1686362
665,1686362,1782351,1686362
666,1686362,1773610,1686362
667,1686362,1772726,1686362
668,1686362,1782540,1686362
669,1686362,1788963,1686362
670,1686362,1776402,1686362
671,1686362,1784926,1686362
672,1686362,1783179,1686362
673,1686362,1764809,1686362
674,1686362,1770733,1686362
675,1686362,1778379,1686362
676,1686362,1787631,1686362
677,1686362,1774066,1686362
678,1686362,1777906,1686362
679,1686362,1766978,1686362
680,1686362,1777152,1686362
681,1686362,1774770,1686362
682,1686362,1772638,1686362
683,1686362,1780997,1686362
684,1686362,1765491,1686362
685,1686362,1765511,1686362
686,1686354,1767776,1686362
687,1686354,1775539,1686354
688,1686362,1768197,1686354
689,1686362,1763600,1686354
690,1686183,1775381,1686354
691,1686354,1767813,1686183
692,1686354,1774794,1686183
693,1686354,1766052,1686183
694,1686362,1765032,1686183
695,1686354,1794098,1686183
696,1686354,1776034,1686183
697,1686183,1771961,1686183
698,1686183,1768954,1686183
699,1686354,1783492,1686183
700,1686183,1776078,1686183
701,1686354,1758132,1686183
702,1686183,1782411,1686183
703,1686183,1774293,1686183
704,1686183,1765692,1686183
705,1686183,1773484,1686183
706,1686183,1766046,1686183
707,1686183,1785552,1686183
708,1686183,1778028,1686183
709,1686183,1779494,1686183
710,1686183,1769517,1686183
711,1686183,1774297,1686183
712,1686183,1778301,1686183
713,1686183,1765674,1686183
714,1686183,1769254,1686183
715,1686183,1774240,1686183
716,1686183,1776183,1686183
717,1686183,1777444,1686183
718,1686183,1777302,1686183
719,1686183,1777718,1686183
720,1686183,1769866,1686183
721,1686183,1815028,1686183
722,1686183,1779358,1686183
723,1686183,1774234,1686183
724,1686183,1768857,1686183
725,1686183,1771451,1686183
726,1686183,1774638,1686183
727,1686183,1763765,1686183
728,1686183,1777049,1686183
729,1686183,1781256,1686183
730,1686183,1773237,1686183
731,1686183,1779049,1686183
732,1686183,1773188,1686183
733,1686183,1772113,1686183
734,1686183,1778479,1686183
735,1686183,1778720,1686183
736,1686183,1770707,1686183
737,1686183,1766078,1686183
738,1686183,1774776,1686183
739,1686183,1774335,1686183
740,1686183,1771782,1686183
741,1686183,1778229,1686183
742,1686183,1763812,1686183
743,1686183,1773417,1686183
744,1686183,1774125,1686183
745,1686183,1771753,1686183
746,1686183,1769878,1686183
747,1686183,1768375,1686183
748,1686183,1772213,1686183
749,1686183,1796079,1686183
750,1685570,1784508,1686183
751,1685570,1765493,1685570
752,1685570,1769999,1685570
753,1685548,1770122,1685570
754,1685570,1765780,1685548
755,1685570,1770077,1685548
756,1685570,1779244,1685548
757,1685570,1768035,1685548
758,1685570,1769642,1685548
759,1685570,1782473,1685548
760,1685548,1771371,1685548
761,1685548,1771291,1685548
762,1685548,1764666,1685548
763,1685548,1774828,1685548
764,1685548,1779200,1685548
765,1685548,1775072,1685548
766,1685548,1772001,1685548
767,1685548,1764858,1685548
768,1685548,1772319,1685548
769,1685548,1779625,1685548
770,1685548,1775536,1685548
771,1685548,1778438,1685548
772,1685548,1777338,1685548
773,1685548,1754629,1685548
774,1685548,1778231,1685548
775,1685548,1769168,1685548
776,1685548,1775112,1685548
777,1685548,1780257,1685548
778,1685548,1767941,1685548
779,1685548,1776016,1685548
780,1685548,1770268,1685548
781,1685548,1772511,1685548
782,1685548,1776999,1685548
783,1685548,1773795,1685548
784,1685548,1759262,1685548
785,1685548,1770573,1685548
